,radius,theta,value
331,594.0,0.0,0.9633313969710008
332,598.5,0.0,0.9624008414365326
333,603.0,0.0,0.9614771546146176
334,607.5,0.0,0.960479373547051
335,612.0,0.0,0.9593796862599363
336,616.5,0.0,0.9582032079211213
337,621.0,0.0,0.9569750536984524
338,625.5,0.0,0.9557203387597778
339,630.0,0.0,0.954455662852078
340,634.5,0.0,0.9531307388740342
341,639.0,0.0,0.9517323557600291
342,643.5,0.0,0.9502601130578456
343,648.0,0.0,0.9487136103152668
344,652.5,0.0,0.9470928802275168
345,657.0,0.0,0.9454039988371244
346,661.5,0.0,0.9436615234698594
347,666.0,0.0,0.941883356355268
348,670.5,0.0,0.9400873997228968
349,675.0,0.0,0.9382817310299423
350,679.5,0.0,0.9363071841705265
351,684.0,0.0,0.9341954982009524
352,688.5,0.0,0.9320688074135427
353,693.0,0.0,0.9300492461006215
354,697.5,0.0,0.9281049467787974
355,702.0,0.0,0.9258038980281523
356,706.5,0.0,0.9232055027161568
357,711.0,0.0,0.920417146051886
358,715.5,0.0,0.9175469393190812
359,720.0,0.0,0.9146820509211845
360,724.5,0.0,0.9118658531500546
361,729.0,0.0,0.9091396060239475
362,733.5,0.0,0.9065328844184142
363,738.0,0.0,0.903457129106749
364,742.5,0.0,0.8997177039289121
365,747.0,0.0,0.8955246628637903
366,751.5,0.0,0.8910894060307639
367,756.0,0.0,0.8866218999079322
368,760.5,0.0,0.8823114348878159
369,765.0,0.0,0.8783488614115675
370,769.5,0.0,0.8747430491079498
371,774.0,0.0,0.8704510516045173
372,778.5,0.0,0.8653284433988546
373,783.0,0.0,0.8594390956477584
374,787.5,0.0,0.8529215900674745
375,792.0,0.0,0.8462673408271284
376,796.5,0.0,0.8400973123937107
377,801.0,0.0,0.8347706620914433
378,805.5,0.0,0.8286834737114349
379,810.0,0.0,0.8215355205934121
380,814.5,0.0,0.8134326767198148
381,819.0,0.0,0.8046163294961376
382,823.5,0.0,0.7956561698549871
383,828.0,0.0,0.7871932030033928
384,832.5,0.0,0.7783952255989389
385,837.0,0.0,0.7680620590288351
386,841.5,0.0,0.7572768462811307
387,846.0,0.0,0.7466262635701069
400,0.0,180.0,0.9999992396414096
401,4.5,180.0,0.9999659372448689
402,9.0,180.0,0.9999322992335131
403,13.5,180.0,0.999898946057568
404,18.0,180.0,0.9998657373567952
405,22.5,180.0,0.9998325327709543
406,27.0,180.0,0.9997991919398073
407,31.5,180.0,0.9997655745031148
408,36.0,180.0,0.999731540100638
409,40.5,180.0,0.999696948372138
410,45.0,180.0,0.9996616589573755
411,49.5,180.0,0.9996255314961119
412,54.0,180.0,0.999588425628108
413,58.5,180.0,0.9995502009931247
414,63.0,180.0,0.9995107172309222
415,67.5,180.0,0.9994698339812628
416,72.0,180.0,0.9994274108839067
417,76.5,180.0,0.9993833075786155
418,81.0,180.0,0.9993373837051496
419,85.5,180.0,0.9992894989032702
420,90.0,180.0,0.9992395128127385
421,94.5,180.0,0.9991872850733152
422,99.0,180.0,0.9991326753247615
423,103.5,180.0,0.999075543206838
424,108.0,180.0,0.9990157483593061
425,112.5,180.0,0.9989531504219263
426,117.0,180.0,0.9988876090344605
427,121.5,180.0,0.9988189838366689
428,126.0,180.0,0.9987471344683125
429,130.5,180.0,0.9986719205691528
430,135.0,180.0,0.9985932017789501
431,139.5,180.0,0.9985108377374662
432,144.0,180.0,0.9984246880844616
433,148.5,180.0,0.998334612459697
434,153.0,180.0,0.998240470502934
435,157.5,180.0,0.9981426760674524
436,162.0,180.0,0.9980433570077494
437,166.5,180.0,0.9979425055958706
438,171.0,180.0,0.9978400359965759
439,175.5,180.0,0.9977358623746249
440,180.0,180.0,0.9976298988947772
441,184.5,180.0,0.9975220597217931
442,189.0,180.0,0.9974122590204312
443,193.5,180.0,0.9973004109554517
444,198.0,180.0,0.9971864296916155
445,202.5,180.0,0.9970702293936808
446,207.0,180.0,0.9969517242264083
447,211.5,180.0,0.9968308283545574
448,216.0,180.0,0.9967074559428881
449,220.5,180.0,0.9965815211561598
450,225.0,180.0,0.9964529381591319
451,229.5,180.0,0.9963216211165647
452,234.0,180.0,0.996187484193218
453,238.5,180.0,0.9960504415538513
454,243.0,180.0,0.9959104073632242
455,247.5,180.0,0.9957672957860969
456,252.0,180.0,0.9956210209872285
457,256.5,180.0,0.9954714971313791
458,261.0,180.0,0.9953186383833087
459,265.5,180.0,0.9951623589077766
460,270.0,180.0,0.9950025728695429
461,274.5,180.0,0.9948391944333669
462,279.0,180.0,0.9946721377640084
463,283.5,180.0,0.9945013170262279
464,288.0,180.0,0.9943266463847842
465,292.5,180.0,0.9941480400044375
466,297.0,180.0,0.993965412049947
467,301.5,180.0,0.9937786766860736
468,306.0,180.0,0.9935877480775759
469,310.5,180.0,0.9933925403892139
470,315.0,180.0,0.9931929677857474
471,319.5,180.0,0.9929889444319366
472,324.0,180.0,0.9927803844925409
473,328.5,180.0,0.99256720213232
474,333.0,180.0,0.9923493115160331
475,337.5,180.0,0.992126626808441
476,342.0,180.0,0.9918990621743027
477,346.5,180.0,0.9916665317783782
478,351.0,180.0,0.9914287965481283
479,355.5,180.0,0.9911858444969549
480,360.0,180.0,0.9909377160437811
